City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Barrow,US,2021-10-29 18:40:29,71.2906,-156.7887,-5.78,77,1,10.36
68,Ostrovnoy,RU,2021-10-29 18:40:30,68.0531,39.5131,37.45,97,100,15.66
69,Chapleau,CA,2021-10-29 18:40:30,47.8405,-83.4034,50.09,53,75,6.91
70,Moctezuma,MX,2021-10-29 18:40:31,29.8,-109.6667,84.34,14,0,2.91
71,Sur,OM,2021-10-29 18:40:31,22.5667,59.5289,78.48,50,0,2.26
72,La Ronge,CA,2021-10-29 18:40:31,55.1001,-105.2842,48.45,40,40,3.44
73,Kapaa,US,2021-10-29 18:40:32,22.0752,-159.319,78.78,94,90,6.91
74,San Quintin,MX,2021-10-29 18:40:32,30.4833,-115.95,75.69,44,0,7.99
75,Balabac,PH,2021-10-29 18:40:33,7.9868,117.0645,81.77,83,29,9.51
76,Chuy,UY,2021-10-29 18:40:33,-33.6971,-53.4616,72.27,64,1,15.61
77,Rikitea,PF,2021-10-29 18:40:34,-23.1203,-134.9692,75.56,76,99,18.3
78,Chokurdakh,RU,2021-10-29 18:40:34,70.6333,147.9167,-16.73,99,99,3.58
79,Tres Passos,BR,2021-10-29 18:40:34,-27.4556,-53.9319,63.12,85,100,13.33
80,Hithadhoo,MV,2021-10-29 18:40:35,-0.6,73.0833,83.62,72,100,13.4
81,Kaitangata,NZ,2021-10-29 18:40:35,-46.2817,169.8464,51.91,92,88,7.61
82,Puerto Ayora,EC,2021-10-29 18:40:36,-0.7393,-90.3518,80.56,83,66,11.01
83,Qaanaaq,GL,2021-10-29 18:40:36,77.484,-69.3632,13.14,68,98,7.96
84,Ushuaia,AR,2021-10-29 18:40:14,-54.8,-68.3,51.42,53,40,29.93
85,Tasiilaq,GL,2021-10-29 18:40:37,65.6145,-37.6368,26.76,79,100,5.17
86,Tautira,PF,2021-10-29 18:40:37,-17.7333,-149.15,78.82,75,35,13.85
87,Bambous Virieux,MU,2021-10-29 18:40:37,-20.3428,57.7575,74.21,88,75,2.3
88,Kaeo,NZ,2021-10-29 18:40:38,-35.1,173.7833,54.32,96,100,4.61
89,Llanes,ES,2021-10-29 18:40:38,43.4198,-4.7549,60.85,80,100,8.41
90,Lahan,NP,2021-10-29 18:40:39,26.7296,86.4951,68.32,74,0,4.41
91,Dwarka,IN,2021-10-29 18:40:39,22.2394,68.9678,80.69,50,99,9.35
92,Tiarei,PF,2021-10-29 18:40:39,-17.5333,-149.3333,78.82,74,6,13.38
93,Haines Junction,CA,2021-10-29 18:40:40,60.7522,-137.5108,15.75,86,100,2.3
94,Anloga,GH,2021-10-29 18:40:40,5.7947,0.8973,84.42,77,100,9.75
95,Waipawa,NZ,2021-10-29 18:40:41,-41.4122,175.5153,56.03,92,98,3.89
96,Victoria,HK,2021-10-29 18:36:21,22.2855,114.1577,78.24,88,72,1.01
97,Olafsvik,IS,2021-10-29 18:40:41,64.8945,-23.7142,41.31,92,100,28.74
98,Mataura,NZ,2021-10-29 18:40:42,-46.1927,168.8643,51.44,90,67,4.03
99,Oksovskiy,RU,2021-10-29 18:40:42,62.6062,39.8984,46.53,95,100,11.56
100,Havelock,US,2021-10-29 18:37:47,34.8791,-76.9013,75.16,67,90,20.0
101,Shadrinsk,RU,2021-10-29 18:40:43,56.0852,63.6335,25.9,64,0,7.9
102,Carnarvon,AU,2021-10-29 18:40:43,-24.8667,113.6333,64.47,72,0,17.27
103,Torbay,CA,2021-10-29 18:40:44,47.6666,-52.7314,41.58,92,90,18.41
104,Dikson,RU,2021-10-29 18:40:44,73.5069,80.5464,3.58,89,100,17.76
105,Merauke,ID,2021-10-29 18:40:44,-8.4667,140.3333,78.67,88,100,7.74
106,Wagar,SD,2021-10-29 18:40:45,16.1525,36.2032,86.31,38,0,18.05
107,Port Elizabeth,ZA,2021-10-29 18:40:45,-33.918,25.5701,61.09,77,0,12.66
108,Clyde River,CA,2021-10-29 18:40:40,70.4692,-68.5914,30.43,100,90,13.8
109,Namibe,AO,2021-10-29 18:40:46,-15.1961,12.1522,67.03,82,35,2.68
110,Awjilah,LY,2021-10-29 18:40:46,29.1081,21.2869,74.89,48,88,9.46
111,Sterling,US,2021-10-29 18:37:54,39.0062,-77.4286,63.23,97,75,1.01
112,Nahrin,AF,2021-10-29 18:40:47,36.0649,69.1334,48.72,70,0,0.56
113,Rocha,UY,2021-10-29 18:40:47,-34.4833,-54.3333,74.64,57,0,15.68
114,Morant Bay,JM,2021-10-29 18:40:48,17.8815,-76.4093,89.22,74,67,7.87
115,Alice Springs,AU,2021-10-29 18:40:48,-23.7,133.8833,62.15,34,19,6.91
116,Baoqing,CN,2021-10-29 18:40:49,46.3317,132.2111,38.46,65,6,5.39
117,Gallup,US,2021-10-29 18:40:49,35.5281,-108.7426,57.96,38,1,0.0
118,Kempsey,AU,2021-10-29 18:40:49,-31.0833,152.8333,63.46,71,5,4.99
119,Kitimat,CA,2021-10-29 18:36:48,54.0524,-128.6534,41.92,27,78,1.97
120,Udachnyy,RU,2021-10-29 18:40:50,66.4167,112.4,-12.57,99,52,5.75
121,Upernavik,GL,2021-10-29 18:40:50,72.7868,-56.1549,19.17,60,6,6.38
122,Padang,ID,2021-10-29 18:40:51,-0.9492,100.3543,78.26,87,98,2.95
123,Bethel,US,2021-10-29 18:39:50,41.3712,-73.414,54.48,73,90,3.0
124,Lorengau,PG,2021-10-29 18:40:52,-2.0226,147.2712,80.19,81,31,2.24
125,Terrace Bay,CA,2021-10-29 18:36:30,48.7834,-87.1,51.42,81,100,11.54
126,Mulege,MX,2021-10-29 18:40:52,26.8833,-111.9833,86.7,22,0,6.31
127,Rudnogorsk,RU,2021-10-29 18:40:53,57.2639,103.7519,26.96,56,100,5.86
128,Qasigiannguit,GL,2021-10-29 18:40:53,68.8193,-51.1922,23.25,93,95,5.53
129,Farmington,US,2021-10-29 18:38:36,36.7281,-108.2187,68.11,37,20,6.91
130,Makushino,RU,2021-10-29 18:40:54,55.2103,67.2442,25.52,65,5,6.96
131,Geraldton,AU,2021-10-29 18:40:25,-28.7667,114.6,52.21,82,0,10.36
132,Katiola,CI,2021-10-29 18:40:55,8.1333,-5.1,83.03,76,90,3.83
133,Bluff,NZ,2021-10-29 18:40:55,-46.6,168.3333,52.2,88,100,7.72
134,Marawi,PH,2021-10-29 18:40:56,7.9986,124.2928,65.64,93,11,2.17
135,Marzuq,YE,2021-10-29 18:40:56,14.4,46.4667,72.03,31,5,4.43
136,Mana,GF,2021-10-29 18:40:56,5.6592,-53.7767,80.24,79,87,7.63
137,Qui Nhon,VN,2021-10-29 18:40:57,13.7667,109.2333,76.41,90,100,5.82
138,Nabire,ID,2021-10-29 18:40:57,-3.3667,135.4833,75.15,89,100,3.22
139,East London,ZA,2021-10-29 18:40:58,-33.0153,27.9116,63.54,88,40,8.05
140,Zhezkazgan,KZ,2021-10-29 18:40:58,47.8043,67.7144,35.94,43,93,8.37
141,Caldwell,US,2021-10-29 18:40:58,43.6629,-116.6874,66.67,53,1,9.22
142,Poya,NC,2021-10-29 18:40:59,-21.35,165.15,69.96,82,66,4.74
