City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Cristobal,VE,7.7669,-72.225,77.18,87,99,3.6,overcast clouds
80,Coihaique,CL,-45.5752,-72.0662,62.55,20,0,10.36,clear sky
81,Eenhana,NA,-17.4667,16.3333,83.95,31,38,5.57,scattered clouds
82,Puri,IN,19.8,85.85,73.92,74,82,5.79,broken clouds
83,Guerrero Negro,MX,27.9769,-114.0611,75.69,51,0,11.27,clear sky
84,Muli,MV,2.9167,73.5667,82.74,74,9,14.16,clear sky
85,Luderitz,NA,-26.6481,15.1594,59.5,93,7,5.32,clear sky
86,Victoria,HK,22.2855,114.1577,75.33,84,97,1.01,overcast clouds
87,Safaga,EG,26.7292,33.9365,80.24,52,99,9.93,overcast clouds
88,Narsaq,GL,60.9167,-46.05,30.42,70,89,4.43,overcast clouds
89,Dubbo,AU,-32.25,148.6167,42.93,70,0,10.36,clear sky
90,Khatanga,RU,71.9667,102.5,-6.43,100,60,3.06,broken clouds
91,Potam,MX,27.6,-110.3833,89.92,28,0,8.86,clear sky
92,Livadiya,RU,42.8692,132.6764,51.21,91,59,5.12,broken clouds
93,Rio Cuarto,AR,-33.1307,-64.3499,85.77,35,75,14.97,thunderstorm with rain
94,Olafsvik,IS,64.8945,-23.7142,43.23,90,72,18.41,broken clouds
95,Aksu,CN,41.1231,80.2644,44.78,52,4,0.36,clear sky
96,Iskateley,RU,67.6803,53.1512,17.26,90,100,12.12,overcast clouds
97,Cherskiy,RU,68.75,161.3,-0.9,98,100,5.59,light snow
98,Kushima,JP,31.4583,131.2333,61.54,93,97,8.88,overcast clouds
99,Hastings,GB,50.8552,0.5729,56.52,77,86,15.5,overcast clouds
100,Bluff,NZ,-46.6,168.3333,54.91,66,89,20.27,light rain
101,Aklavik,CA,68.2191,-135.0107,17.6,86,40,3.44,scattered clouds
102,Belle Fourche,US,44.6714,-103.8522,47.5,72,100,14.34,overcast clouds
103,Tadine,NC,-21.55,167.8833,73.38,76,0,5.35,clear sky
104,Rognan,NO,67.0953,15.3878,48.34,88,100,5.14,overcast clouds
105,Basco,PH,20.4487,121.9702,80.8,66,91,16.67,overcast clouds
106,Faanui,PF,-16.4833,-151.75,78.15,69,16,16.73,few clouds
107,Priladozhskiy,RU,59.85,31.4833,45.79,92,99,9.4,overcast clouds
108,Bilibino,RU,68.0546,166.4372,-8.81,100,100,1.7,overcast clouds
109,Samarai,PG,-10.6167,150.6667,82.18,80,98,12.84,overcast clouds
110,Baykit,RU,61.67,96.37,17.91,84,100,11.25,overcast clouds
111,Awbari,LY,26.5921,12.7805,72.03,28,0,6.55,clear sky
112,Karratha,AU,-20.7377,116.8463,72.46,70,0,6.4,clear sky
113,Talcahuano,CL,-36.7167,-73.1167,62.28,67,0,16.11,clear sky
114,Hilo,US,19.7297,-155.09,81.25,71,1,5.75,clear sky
115,Praya,CV,14.9215,-23.5087,75.74,88,0,8.05,clear sky
116,Iqaluit,CA,63.7506,-68.5145,37.13,64,75,15.99,broken clouds
117,Qaanaaq,GL,77.484,-69.3632,2.16,53,0,8.72,clear sky
118,Elban,RU,50.1018,136.5094,32.07,62,100,10.42,overcast clouds
119,Harer,ET,9.3094,42.1258,57.02,77,99,6.15,overcast clouds
120,Dingle,PH,10.9995,122.6711,74.91,90,98,8.46,overcast clouds
121,Tuatapere,NZ,-46.1333,167.6833,50.63,92,100,13.76,overcast clouds
122,Birao,CF,10.2849,22.7882,79.16,27,98,0.98,overcast clouds
123,Hirara,JP,24.8,125.2833,75.58,74,27,13.65,scattered clouds
124,Pitsunda,GE,43.1592,40.3378,56.71,58,3,4.7,clear sky
125,Pitimbu,BR,-7.4706,-34.8086,81.19,68,1,14.94,clear sky
126,New Norfolk,AU,-42.7826,147.0587,54.91,59,83,3.0,broken clouds
127,Brownwood,US,31.7093,-98.9912,83.28,21,1,8.05,clear sky
128,College,US,64.8569,-147.8028,41.32,66,75,4.61,broken clouds
129,Semey,KZ,50.4111,80.2275,37.0,57,84,7.85,broken clouds
130,Bibiani,GH,6.4635,-2.3194,73.65,92,99,1.14,light rain
131,Tiznit,MA,29.5833,-9.5,65.66,56,0,1.1,clear sky
132,East London,ZA,-33.0153,27.9116,65.16,85,78,8.08,broken clouds
133,Gombong,ID,-7.6072,109.5142,72.82,93,100,1.79,overcast clouds
134,Chuy,UY,-33.6971,-53.4616,71.24,75,87,13.73,overcast clouds
135,Dikson,RU,73.5069,80.5464,6.87,92,100,16.6,overcast clouds
136,Avera,US,33.194,-82.5271,64.27,61,100,14.45,overcast clouds
137,Castro,BR,-24.7911,-50.0119,67.64,84,73,9.35,broken clouds
138,Sola,VU,-13.8833,167.55,81.1,69,1,17.4,clear sky
139,Patur,IN,20.45,76.9333,66.07,64,92,1.66,overcast clouds
140,Chokurdakh,RU,70.6333,147.9167,-0.24,98,100,5.3,overcast clouds
141,Buala,SB,-8.145,159.5921,81.07,81,92,8.55,overcast clouds
142,Agaro,ET,7.85,36.65,57.04,73,74,1.61,broken clouds
143,Garmsar,IR,35.2182,52.3409,64.11,48,86,2.53,overcast clouds
144,Kavaratti,IN,10.5669,72.642,81.97,72,93,2.84,overcast clouds
145,Hermanus,ZA,-34.4187,19.2345,61.9,83,77,9.69,broken clouds
146,Kruisfontein,ZA,-34.0033,24.7314,55.89,93,0,1.5,clear sky
147,Totness,SR,5.8833,-56.3167,81.99,72,47,8.48,scattered clouds
148,Maceio,BR,-9.6658,-35.7353,83.64,65,40,11.5,scattered clouds
149,Sheridan,US,44.8333,-106.9173,41.65,70,90,5.99,overcast clouds
150,Barrow,US,71.2906,-156.7887,15.82,79,90,0.0,overcast clouds
151,Talnakh,RU,69.4865,88.3972,14.14,96,100,5.19,light snow
152,Padang,ID,-0.9492,100.3543,77.47,90,100,3.71,moderate rain
153,Le Vauclin,MQ,14.5452,-60.8388,84.33,65,20,14.97,few clouds
154,Kaitangata,NZ,-46.2817,169.8464,53.85,75,100,3.76,overcast clouds
155,De-Kastri,RU,51.4667,140.7833,25.56,91,67,4.88,broken clouds
156,Mbini,GQ,1.574,9.6134,78.48,85,100,4.38,light rain
157,Cayenne,GF,4.9333,-52.3333,86.04,77,75,5.01,broken clouds
158,Santa Fe,AR,-31.6333,-60.7,96.98,36,1,1.99,clear sky
